Transaction ID,Customer ID,Date,Product Category,Quantity,Price Per Unit,Payment Method,Store Location,Discount Applied,Age,Gender,Total Amount
T100888,C1382,2025-01-08 12:00:00,Home Decor,1,295.0,Digital Wallet,Lyon,Yes,54,Male,295.0
T100944,C1357,2025-01-08 13:00:00,Beauty,9,163.86,Digital Wallet,Marseille,Yes,63,Female,1474.74
T100149,C1230,2025-01-08 14:00:00,Groceries,5,274.51,Debit Card,Nantes,No,37,Female,1372.55
T100297,C1323,2025-01-08 17:00:00,Electronics,8,417.28,Digital Wallet,Nantes,No,65,Male,3338.24
T100777,C1341,2025-01-08 23:00:00,Beauty,1,109.45,Cash,Lyon,Yes,33,Female,109.45
T100194,C1051,2025-01-09 05:00:00,Beauty,2,344.58,Digital Wallet,Montpellier,No,60,Female,689.16
T100160,C1061,2025-01-09 05:00:00,Groceries,2,242.67,Cash,Nice,Yes,39,Other,485.34
T100064,C1088,2025-01-09 14:00:00,Clothing,1,245.01,Cash,Marseille,No,34,Other,245.01
T100259,C1471,2025-01-10 02:00:00,Groceries,8,187.31,Debit Card,Marseille,No,30,Other,1498.48
T101128,C1042,2025-01-10 03:00:00,Beauty,9,402.52,Debit Card,Lyon,No,34,Male,3622.68
T100547,C1185,2025-01-10 17:00:00,Groceries,7,345.62,Credit Card,Marseille,No,44,Female,2419.34
T100633,C1143,2025-01-10 20:00:00,Electronics,3,347.47,Credit Card,Strasbourg,No,44,Male,1042.41
T101796,C1013,2025-01-11 01:00:00,Clothing,7,457.22,Credit Card,Nantes,No,63,Other,3200.54
T100590,C1144,2025-01-11 09:00:00,Home Decor,7,364.93,Credit Card,Marseille,No,42,Other,2554.51
T101277,C1439,2025-01-11 11:00:00,Clothing,9,127.73,Cash,Paris,No,65,Other,1149.57
T101819,C1127,2025-01-11 13:00:00,Groceries,9,156.26,Credit Card,Toulouse,No,34,Female,1406.34
T101167,C1000,2025-01-11 16:00:00,Clothing,2,221.33,Debit Card,Marseille,No,58,Female,442.66
T100284,C1223,2025-01-12 09:00:00,Clothing,4,301.64,Debit Card,Montpellier,No,49,Female,1206.56
T100796,C1366,2025-01-12 10:00:00,Beauty,5,361.53,Credit Card,Nantes,No,36,Female,1807.65
T100208,C1326,2025-01-12 12:00:00,Groceries,8,130.8,Credit Card,Strasbourg,Yes,74,Other,1046.4
T100491,C1322,2025-01-12 12:00:00,Electronics,8,340.67,Credit Card,Nantes,No,70,Other,2725.36
T100468,C1496,2025-01-12 14:00:00,Beauty,8,442.0,Cash,Marseille,Yes,64,Female,3536.0
T100441,C1096,2025-01-12 16:00:00,Clothing,2,346.13,Credit Card,Nantes,Yes,59,Female,692.26
T100639,C1461,2025-01-12 16:00:00,Beauty,5,235.02,Cash,Nice,No,45,Other,1175.1
T100144,C1418,2025-01-12 17:00:00,Beauty,6,354.79,Debit Card,Toulouse,Yes,30,Male,2128.74
T100115,C1337,2025-01-12 21:00:00,Beauty,1,474.71,Digital Wallet,Montpellier,No,48,Other,474.71
T100207,C1159,2025-01-12 22:00:00,Clothing,6,226.11,Cash,Strasbourg,No,72,Male,1356.66
T101137,C1094,2025-01-12 22:00:00,Electronics,6,279.47,Credit Card,Strasbourg,No,49,Female,1676.82
T101871,C1010,2025-01-13 12:00:00,Electronics,3,371.69,Digital Wallet,Strasbourg,No,46,Male,1115.07
T101075,C1302,2025-01-13 14:00:00,Home Decor,8,18.09,Debit Card,Paris,No,65,Other,144.72
T101417,C1077,2025-01-13 15:00:00,Clothing,8,94.1,Debit Card,Paris,No,43,Other,752.8
T101888,C1249,2025-01-13 17:00:00,Electronics,7,246.5,Credit Card,Nantes,Yes,65,Other,1725.5
T101179,C1072,2025-01-13 17:00:00,Beauty,2,427.01,Credit Card,Paris,No,46,Other,854.02
T101112,C1387,2025-01-13 23:00:00,Home Decor,2,434.14,Credit Card,Montpellier,No,33,Female,868.28
T100640,C1219,2025-01-14 01:00:00,Electronics,3,411.26,Credit Card,Montpellier,No,45,Male,1233.78
T100518,C1354,2025-01-14 06:00:00,Groceries,7,7.65,Debit Card,Strasbourg,No,63,Other,53.55
T100475,C1115,2025-01-14 08:00:00,Groceries,7,31.45,Digital Wallet,Marseille,Yes,51,Female,220.15
T100206,C1012,2025-01-14 10:00:00,Home Decor,5,214.97,Debit Card,Toulouse,Yes,26,Male,1074.85
T100245,C1410,2025-01-14 13:00:00,Groceries,7,62.56,Digital Wallet,Paris,No,59,Male,437.92
T101131,C1370,2025-01-14 17:00:00,Home Decor,6,233.92,Debit Card,Montpellier,Yes,18,Other,1403.52
T101447,C1103,2025-01-14 22:00:00,Home Decor,1,209.32,Credit Card,Paris,Yes,26,Male,209.32
T100250,C1306,2025-01-14 23:00:00,Beauty,6,436.31,Debit Card,Nice,No,26,Other,2617.86
T100141,C1080,2025-01-15 01:00:00,Electronics,7,137.55,Debit Card,Toulouse,No,46,Female,962.85
T100006,C1188,2025-01-15 23:00:00,Electronics,2,230.88,Cash,Strasbourg,Yes,47,Other,461.76
T100798,C1372,2025-01-16 00:00:00,Beauty,3,52.4,Cash,Nice,Yes,66,Other,157.2
T101107,C1105,2025-01-16 01:00:00,Beauty,1,138.98,Credit Card,Marseille,No,47,Other,138.98
T101182,C1046,2025-01-16 08:00:00,Clothing,3,487.89,Cash,Paris,No,73,Male,1463.67
T100009,C1121,2025-01-16 12:00:00,Clothing,4,257.01,Digital Wallet,Nice,Yes,31,Other,1028.04
T101226,C1492,2025-01-16 15:00:00,Electronics,7,103.55,Digital Wallet,Nice,No,43,Male,724.85
T100876,C1125,2025-01-16 16:00:00,Home Decor,6,160.32,Cash,Montpellier,No,45,Female,961.92
T101376,C1398,2025-01-16 23:00:00,Beauty,4,138.64,Cash,Nantes,No,58,Other,554.56
T101454,C1066,2025-01-17 01:00:00,Beauty,8,82.1,Credit Card,Strasbourg,No,43,Male,656.8
T100745,C1456,2025-01-17 01:00:00,Groceries,3,143.04,Digital Wallet,Toulouse,No,38,Other,429.12
T101208,C1027,2025-01-17 11:00:00,Clothing,2,178.38,Debit Card,Nantes,Yes,61,Other,356.76
T101319,C1093,2025-01-17 17:00:00,Clothing,4,216.07,Cash,Lyon,No,30,Female,864.28
T100928,C1142,2025-01-17 23:00:00,Home Decor,6,485.6,Debit Card,Paris,Yes,62,Male,2913.6
T100239,C1460,2025-01-18 07:00:00,Beauty,6,324.15,Digital Wallet,Nantes,No,46,Male,1944.9
T101833,C1116,2025-01-18 18:00:00,Groceries,1,423.83,Cash,Nice,No,73,Male,423.83
T100603,C1126,2025-01-18 20:00:00,Groceries,3,428.01,Digital Wallet,Nice,Yes,56,Other,1284.03
T101585,C1456,2025-01-18 21:00:00,Electronics,4,335.75,Credit Card,Marseille,No,63,Male,1343.0
T101599,C1074,2025-01-19 02:00:00,Home Decor,6,496.05,Digital Wallet,Strasbourg,Yes,21,Other,2976.3
T100413,C1403,2025-01-19 03:00:00,Beauty,1,373.49,Cash,Strasbourg,Yes,38,Male,373.49
T100325,C1419,2025-01-19 05:00:00,Groceries,1,133.43,Cash,Toulouse,No,61,Other,133.43
T100938,C1458,2025-01-19 11:00:00,Clothing,7,324.2,Cash,Toulouse,No,63,Male,2269.4
T101441,C1144,2025-01-19 21:00:00,Home Decor,6,227.33,Digital Wallet,Toulouse,No,59,Female,1363.98
T101284,C1436,2025-01-19 22:00:00,Home Decor,1,119.63,Credit Card,Strasbourg,Yes,27,Male,119.63
T100621,C1271,2025-01-19 22:00:00,Home Decor,8,429.08,Credit Card,Paris,Yes,63,Female,3432.64
T101765,C1470,2025-01-20 05:00:00,Electronics,4,38.04,Credit Card,Marseille,Yes,66,Female,152.16
T100647,C1499,2025-01-20 09:00:00,Clothing,2,350.51,Cash,Marseille,No,39,Other,701.02
T100641,C1068,2025-01-20 10:00:00,Home Decor,7,309.2,Cash,Nantes,Yes,73,Male,2164.4
T100655,C1038,2025-01-20 16:00:00,Groceries,6,102.36,Debit Card,Montpellier,No,35,Female,614.16
T100493,C1173,2025-01-20 17:00:00,Beauty,3,346.32,Debit Card,Toulouse,No,45,Other,1038.96
T100228,C1347,2025-01-20 23:00:00,Beauty,5,100.76,Digital Wallet,Strasbourg,No,39,Male,503.8
T100721,C1089,2025-01-21 03:00:00,Electronics,1,134.03,Digital Wallet,Paris,No,34,Other,134.03
T101195,C1256,2025-01-21 10:00:00,Electronics,8,478.63,Debit Card,Montpellier,Yes,71,Female,3829.04
T101028,C1022,2025-01-21 11:00:00,Beauty,9,399.49,Debit Card,Strasbourg,Yes,49,Other,3595.41
T100800,C1098,2025-01-21 12:00:00,Home Decor,4,286.39,Credit Card,Strasbourg,No,41,Other,1145.56
T100240,C1232,2025-01-21 14:00:00,Clothing,4,173.13,Digital Wallet,Lyon,No,30,Male,692.52
T101169,C1232,2025-01-21 19:00:00,Groceries,1,373.05,Credit Card,Lyon,Yes,37,Other,373.05
T100353,C1251,2025-01-21 22:00:00,Electronics,4,256.41,Digital Wallet,Marseille,No,32,Other,1025.64
T101634,C1083,2025-01-22 05:00:00,Home Decor,9,460.5,Debit Card,Strasbourg,Yes,65,Female,4144.5
T101465,C1499,2025-01-22 10:00:00,Groceries,1,406.31,Credit Card,Nantes,Yes,43,Female,406.31
T101424,C1088,2025-01-22 18:00:00,Beauty,5,145.31,Cash,Lyon,No,44,Female,726.55
T101377,C1407,2025-01-22 20:00:00,Clothing,6,385.37,Digital Wallet,Marseille,No,68,Other,2312.22
T101078,C1228,2025-01-22 21:00:00,Home Decor,2,437.41,Credit Card,Montpellier,Yes,29,Female,874.82
T101098,C1481,2025-01-23 08:00:00,Groceries,3,355.79,Debit Card,Nice,No,71,Other,1067.37
T101210,C1077,2025-01-24 10:00:00,Electronics,7,71.09,Digital Wallet,Lyon,Yes,45,Female,497.63
T101166,C1325,2025-01-24 11:00:00,Clothing,2,82.38,Digital Wallet,Toulouse,Yes,72,Male,164.76
T100648,C1452,2025-01-24 21:00:00,Groceries,7,396.18,Credit Card,Nice,No,70,Other,2773.26
T101352,C1355,2025-01-24 23:00:00,Clothing,2,38.21,Credit Card,Marseille,No,50,Male,76.42
T101951,C1463,2025-01-25 01:00:00,Beauty,2,67.44,Cash,Nantes,Yes,66,Female,134.88
T100480,C1470,2025-01-25 01:00:00,Home Decor,8,51.36,Debit Card,Montpellier,No,51,Female,410.88
T100804,C1378,2025-01-25 02:00:00,Beauty,5,348.29,Cash,Nice,No,54,Male,1741.45
T100487,C1489,2025-01-25 12:00:00,Clothing,9,441.15,Cash,Nantes,No,56,Other,3970.35
T101486,C1352,2025-01-25 12:00:00,Home Decor,7,216.87,Cash,Marseille,No,63,Male,1518.09
T100209,C1186,2025-01-25 12:00:00,Groceries,5,413.44,Digital Wallet,Nice,Yes,62,Male,2067.2
T100489,C1053,2025-01-25 14:00:00,Home Decor,3,298.53,Cash,Strasbourg,No,41,Male,895.59
T101372,C1328,2025-01-25 15:00:00,Home Decor,6,340.42,Credit Card,Nice,Yes,39,Female,2042.52
T101619,C1197,2025-01-25 21:00:00,Home Decor,9,40.81,Cash,Strasbourg,No,41,Male,367.29
T100126,C1156,2025-01-26 01:00:00,Beauty,5,111.55,Credit Card,Paris,No,47,Male,557.75
T100384,C1455,2025-01-26 08:00:00,Home Decor,3,263.32,Digital Wallet,Paris,No,22,Male,789.96
T101248,C1012,2025-01-26 09:00:00,Beauty,4,348.94,Debit Card,Paris,Yes,46,Other,1395.76
T101771,C1421,2025-01-26 10:00:00,Clothing,4,279.39,Debit Card,Paris,No,53,Other,1117.56
T100894,C1347,2025-01-26 19:00:00,Electronics,5,223.17,Debit Card,Marseille,No,45,Male,1115.85
T100134,C1128,2025-01-27 02:00:00,Electronics,2,328.85,Credit Card,Lyon,No,20,Female,657.7
T100150,C1040,2025-01-27 13:00:00,Clothing,7,88.38,Cash,Toulouse,No,31,Male,618.66
T100364,C1139,2025-01-27 14:00:00,Beauty,2,411.22,Debit Card,Nantes,Yes,64,Male,822.44
T100425,C1469,2025-01-27 20:00:00,Home Decor,7,376.58,Cash,Toulouse,No,62,Male,2636.06
T101117,C1272,2025-01-27 21:00:00,Home Decor,8,349.63,Digital Wallet,Montpellier,No,19,Female,2797.04
T101931,C1304,2025-01-28 01:00:00,Electronics,4,278.35,Credit Card,Lyon,No,30,Female,1113.4
T101191,C1060,2025-01-28 05:00:00,Electronics,2,353.53,Credit Card,Nantes,No,57,Male,707.06
T101174,C1432,2025-01-28 08:00:00,Electronics,6,289.87,Credit Card,Nice,No,53,Male,1739.22
T100742,C1163,2025-01-28 10:00:00,Clothing,1,314.35,Cash,Nantes,No,37,Female,314.35
T100568,C1491,2025-01-28 18:00:00,Clothing,7,128.23,Debit Card,Lyon,Yes,43,Male,897.61
T100546,C1152,2025-01-29 00:00:00,Electronics,3,83.35,Digital Wallet,Toulouse,No,51,Female,250.05
T101664,C1423,2025-01-29 06:00:00,Home Decor,4,326.29,Digital Wallet,Nantes,No,33,Other,1305.16
T101775,C1225,2025-01-29 07:00:00,Clothing,3,169.75,Debit Card,Toulouse,No,52,Male,509.25
T100017,C1359,2025-01-29 16:00:00,Clothing,6,126.13,Debit Card,Strasbourg,No,65,Other,756.78
T101450,C1038,2025-01-29 23:00:00,Clothing,3,188.87,Digital Wallet,Marseille,Yes,28,Male,566.61
T101134,C1150,2025-01-30 03:00:00,Clothing,2,234.0,Digital Wallet,Nantes,No,65,Male,468.0
T101371,C1100,2025-01-30 04:00:00,Electronics,6,39.58,Debit Card,Lyon,No,52,Male,237.48
T100622,C1188,2025-01-30 06:00:00,Home Decor,4,472.33,Digital Wallet,Paris,No,20,Other,1889.32
T101630,C1468,2025-01-30 07:00:00,Home Decor,3,472.06,Cash,Strasbourg,No,19,Male,1416.18
T101994,C1401,2025-01-30 10:00:00,Beauty,2,340.88,Digital Wallet,Nice,No,63,Male,681.76
T100444,C1447,2025-01-30 12:00:00,Beauty,9,163.2,Digital Wallet,Toulouse,Yes,61,Other,1468.8
T100492,C1359,2025-01-31 13:00:00,Groceries,9,210.14,Debit Card,Lyon,No,42,Male,1891.26
T101125,C1204,2025-01-31 16:00:00,Electronics,1,234.97,Debit Card,Nice,Yes,50,Male,234.97
T100093,C1476,2025-01-31 22:00:00,Clothing,3,246.3,Debit Card,Nice,Yes,64,Female,738.9
T101818,C1145,2025-01-31 22:00:00,Home Decor,4,245.07,Digital Wallet,Nice,No,73,Other,980.28
T101408,C1269,2025-02-01 03:00:00,Electronics,2,496.62,Debit Card,Nice,Yes,55,Other,993.24
T100759,C1189,2025-02-01 06:00:00,Clothing,1,236.89,Credit Card,Toulouse,Yes,41,Other,236.89
T100795,C1338,2025-02-01 08:00:00,Electronics,2,56.72,Debit Card,Paris,No,33,Other,113.44
T101127,C1234,2025-02-01 09:00:00,Electronics,7,311.63,Credit Card,Nantes,No,58,Other,2181.41
T100169,C1448,2025-02-01 10:00:00,Electronics,8,304.07,Digital Wallet,Nantes,No,58,Male,2432.56
T101563,C1213,2025-02-01 22:00:00,Clothing,1,67.95,Digital Wallet,Montpellier,No,64,Female,67.95
T100123,C1379,2025-02-02 05:00:00,Electronics,9,370.38,Digital Wallet,Toulouse,Yes,29,Male,3333.42
T100819,C1121,2025-02-03 08:00:00,Electronics,2,208.2,Digital Wallet,Nice,No,60,Male,416.4
T100535,C1370,2025-02-03 19:00:00,Groceries,9,43.96,Debit Card,Nantes,Yes,19,Other,395.64
T100878,C1172,2025-02-04 10:00:00,Electronics,8,110.83,Debit Card,Montpellier,Yes,64,Female,886.64
T100692,C1177,2025-02-04 13:00:00,Home Decor,2,354.5,Digital Wallet,Strasbourg,Yes,65,Other,709.0
T100221,C1107,2025-02-04 21:00:00,Groceries,9,187.02,Debit Card,Montpellier,No,52,Female,1683.18
T101011,C1416,2025-02-04 22:00:00,Groceries,6,255.74,Cash,Lyon,No,29,Other,1534.44
T101084,C1102,2025-02-04 23:00:00,Groceries,7,41.88,Cash,Toulouse,Yes,65,Male,293.16
T101813,C1097,2025-02-05 04:00:00,Beauty,8,407.4,Credit Card,Marseille,No,20,Male,3259.2
T100417,C1194,2025-02-05 07:00:00,Beauty,2,285.1,Credit Card,Paris,Yes,50,Female,570.2
T101565,C1406,2025-02-05 13:00:00,Home Decor,7,89.23,Digital Wallet,Strasbourg,No,47,Male,624.61
T100377,C1053,2025-02-05 19:00:00,Clothing,4,200.2,Credit Card,Nice,Yes,18,Male,800.8
T101092,C1337,2025-02-06 12:00:00,Beauty,9,310.76,Credit Card,Nantes,No,33,Male,2796.84
T101535,C1209,2025-02-06 14:00:00,Home Decor,6,297.42,Digital Wallet,Marseille,No,58,Female,1784.52
T100071,C1385,2025-02-06 15:00:00,Groceries,2,438.13,Debit Card,Strasbourg,No,26,Female,876.26
T100218,C1133,2025-02-06 23:00:00,Home Decor,6,198.24,Credit Card,Paris,No,43,Other,1189.44
T100068,C1264,2025-02-07 07:00:00,Home Decor,3,322.58,Debit Card,Paris,No,29,Male,967.74
T100573,C1261,2025-02-07 14:00:00,Beauty,7,402.64,Debit Card,Marseille,No,68,Female,2818.48
T101843,C1097,2025-02-07 18:00:00,Electronics,6,287.8,Cash,Nice,No,26,Male,1726.8
T101519,C1253,2025-02-07 18:00:00,Beauty,9,197.32,Debit Card,Marseille,No,38,Other,1775.88
T100454,C1016,2025-02-07 19:00:00,Beauty,2,241.11,Digital Wallet,Nice,No,56,Male,482.22
T101932,C1444,2025-02-07 22:00:00,Groceries,2,332.18,Cash,Strasbourg,No,24,Female,664.36
T100963,C1191,2025-02-08 02:00:00,Beauty,2,344.34,Cash,Lyon,No,54,Male,688.68
T100841,C1392,2025-02-08 08:00:00,Home Decor,3,54.87,Debit Card,Strasbourg,Yes,20,Male,164.61
T100932,C1053,2025-02-08 12:00:00,Clothing,3,201.14,Digital Wallet,Montpellier,No,38,Other,603.42
T100016,C1099,2025-02-08 13:00:00,Electronics,2,473.31,Credit Card,Montpellier,Yes,58,Other,946.62
T100129,C1064,2025-02-08 14:00:00,Beauty,1,261.65,Cash,Toulouse,No,49,Male,261.65
T101296,C1094,2025-02-08 16:00:00,Groceries,5,215.12,Credit Card,Nice,No,40,Other,1075.6
T100601,C1317,2025-02-08 16:00:00,Clothing,3,57.96,Cash,Paris,Yes,38,Male,173.88
T101811,C1028,2025-02-08 16:00:00,Groceries,4,41.75,Cash,Montpellier,No,55,Other,167.0
T101572,C1419,2025-02-08 21:00:00,Groceries,7,486.98,Credit Card,Nice,Yes,21,Other,3408.86
T100065,C1315,2025-02-09 04:00:00,Electronics,4,180.72,Debit Card,Nice,Yes,46,Female,722.88
T100074,C1366,2025-02-09 12:00:00,Groceries,2,380.4,Credit Card,Nice,No,63,Female,760.8
T101983,C1327,2025-02-09 17:00:00,Beauty,6,5.03,Debit Card,Strasbourg,No,40,Male,30.18
T101838,C1312,2025-02-09 19:00:00,Electronics,9,488.15,Debit Card,Toulouse,No,44,Female,4393.35
T100956,C1315,2025-02-10 06:00:00,Electronics,1,481.58,Credit Card,Strasbourg,No,47,Male,481.58
T101328,C1025,2025-02-10 08:00:00,Home Decor,3,280.74,Credit Card,Nantes,Yes,67,Female,842.22
T101345,C1089,2025-02-10 15:00:00,Clothing,1,52.37,Debit Card,Nice,No,58,Male,52.37
T100174,C1130,2025-02-10 16:00:00,Clothing,5,296.46,Cash,Nantes,Yes,73,Female,1482.3
T101468,C1410,2025-02-10 21:00:00,Home Decor,5,251.34,Digital Wallet,Lyon,No,63,Other,1256.7
T100248,C1164,2025-02-10 21:00:00,Electronics,8,137.6,Cash,Strasbourg,Yes,51,Female,1100.8
T101024,C1132,2025-02-11 01:00:00,Home Decor,5,296.72,Credit Card,Nantes,No,67,Other,1483.6
T100415,C1391,2025-02-11 06:00:00,Electronics,3,221.83,Debit Card,Nice,Yes,39,Other,665.49
T100540,C1321,2025-02-11 12:00:00,Beauty,6,234.38,Cash,Marseille,No,21,Other,1406.28
T100770,C1285,2025-02-11 19:00:00,Clothing,9,260.54,Debit Card,Strasbourg,Yes,38,Other,2344.86
T100539,C1353,2025-02-11 20:00:00,Groceries,6,154.11,Debit Card,Nantes,No,57,Other,924.66
T100409,C1288,2025-02-11 21:00:00,Home Decor,4,201.61,Digital Wallet,Montpellier,No,42,Male,806.44
T100560,C1053,2025-02-12 00:00:00,Groceries,2,331.41,Digital Wallet,Nantes,No,47,Male,662.82
T101505,C1172,2025-02-12 08:00:00,Beauty,8,363.17,Cash,Nice,No,54,Male,2905.36
T100920,C1146,2025-02-12 19:00:00,Home Decor,7,145.23,Cash,Nice,No,35,Other,1016.61
T101227,C1273,2025-02-12 20:00:00,Beauty,1,295.91,Cash,Nice,Yes,46,Other,295.91
T100769,C1360,2025-02-13 00:00:00,Clothing,2,453.4,Debit Card,Strasbourg,No,71,Other,906.8
T101300,C1246,2025-02-13 08:00:00,Groceries,9,80.92,Digital Wallet,Montpellier,No,19,Male,728.28
T101200,C1179,2025-02-13 14:00:00,Groceries,3,229.97,Debit Card,Strasbourg,No,69,Other,689.91
T101962,C1364,2025-02-13 14:00:00,Clothing,3,427.7,Debit Card,Montpellier,No,64,Male,1283.1
T100936,C1470,2025-02-14 00:00:00,Clothing,7,64.53,Credit Card,Nice,No,54,Female,451.71
T101781,C1363,2025-02-14 14:00:00,Beauty,5,349.77,Debit Card,Strasbourg,No,63,Male,1748.85
T101581,C1423,2025-02-14 16:00:00,Clothing,2,238.52,Credit Card,Strasbourg,No,56,Male,477.04
T101105,C1029,2025-02-14 18:00:00,Clothing,1,256.73,Cash,Nice,No,64,Male,256.73
T100092,C1309,2025-02-14 18:00:00,Clothing,6,83.47,Debit Card,Lyon,No,60,Male,500.82
T101233,C1472,2025-02-14 21:00:00,Clothing,4,15.96,Credit Card,Toulouse,No,51,Female,63.84
T101642,C1188,2025-02-14 21:00:00,Beauty,4,466.89,Digital Wallet,Lyon,No,57,Other,1867.56
T101267,C1082,2025-02-15 04:00:00,Groceries,6,144.56,Credit Card,Nantes,No,58,Male,867.36
T100847,C1028,2025-02-15 05:00:00,Home Decor,5,91.96,Credit Card,Nantes,No,63,Female,459.8
T101494,C1215,2025-02-15 09:00:00,Home Decor,2,238.23,Cash,Toulouse,No,42,Male,476.46
T101053,C1071,2025-02-15 11:00:00,Home Decor,3,490.61,Digital Wallet,Montpellier,No,27,Male,1471.83
T101202,C1302,2025-02-15 12:00:00,Beauty,2,6.84,Cash,Lyon,Yes,28,Female,13.68
T100156,C1417,2025-02-15 14:00:00,Clothing,5,353.72,Debit Card,Paris,No,41,Female,1768.6
T100101,C1483,2025-02-15 16:00:00,Home Decor,2,457.3,Cash,Paris,Yes,55,Male,914.6
T101511,C1419,2025-02-16 00:00:00,Home Decor,9,423.39,Digital Wallet,Lyon,Yes,62,Other,3810.51
T101443,C1494,2025-02-16 06:00:00,Groceries,1,50.11,Debit Card,Lyon,Yes,55,Male,50.11
